session,plane,depth (um),pt_supervoxel_id,nwb_x,nwb_y,nwb_z,visual_area,layer,classification_system,cell_type
ses-4-scan-7,4,220,96203351896959152,228592.0,129764.0,26362.0,V1,L4,,
ses-4-scan-7,4,220,109009363355827872,321792.0,121920.0,22713.0,RL,L4,,
ses-4-scan-7,4,220,100003263478544560,256278.0,129876.0,21718.0,RL,L4,,
ses-4-scan-7,4,220,109783419407740080,327232.0,121712.0,21861.0,RL,L4,,
ses-4-scan-7,4,220,92966458384534400,205196.0,130317.0,26615.0,V1,L4,,
ses-4-scan-7,4,220,94303395938118736,214958.0,129887.0,27160.0,V1,L4,,
ses-4-scan-7,4,220,89589445992505264,180432.0,135664.0,27206.0,V1,L4,,
ses-4-scan-7,4,220,111120425546990032,337008.0,121888.0,21747.0,RL,L4,,
ses-4-scan-7,4,220,94655650499877056,217176.0,133019.0,16230.0,V1,L4,,
ses-4-scan-7,4,220,114005475338812384,358322.0,121173.0,21783.0,RL,L4,,
ses-4-scan-7,4,220,110908976052978528,335824.0,119168.0,24577.0,RL,L4,,
ses-4-scan-7,4,220,108728163055787296,319888.0,123920.0,21244.0,RL,L4,,
ses-4-scan-7,4,220,107531414173842112,311313.0,120255.0,27509.0,RL,L4,,
ses-4-scan-7,4,220,99580845593255104,253427.0,128268.0,27379.0,V1,L4,,
ses-4-scan-7,4,220,108727819525656608,319552.0,121504.0,21905.0,RL,L4,,
ses-4-scan-7,4,220,93951620332961920,212400.0,130304.0,22761.0,V1,L4,excitatory_neuron,23P
ses-4-scan-7,4,220,107180737341840048,308448.0,128800.0,17228.0,RL,L4,,
ses-4-scan-7,4,220,112808451310405280,349248.0,115824.0,25812.0,RL,L4,,
ses-4-scan-7,4,220,116396844543865296,375644.0,112335.0,22687.0,RL,L4,,
ses-4-scan-7,4,220,99369601653145280,251860.0,127203.0,25159.0,V1,L4,,
ses-4-scan-7,4,220,112317587282772240,346090.0,128210.0,19689.0,RL,L4,,
ses-4-scan-7,4,220,111331119731061344,338880.0,118688.0,23736.0,RL,L4,,
ses-4-scan-7,4,220,109784312022674944,327569.0,128217.0,16142.0,RL,L4,,
ses-4-scan-7,4,220,98103031635160128,242574.0,128147.0,14884.0,V1,L4,,
ses-4-scan-7,4,220,92403919271316192,200768.0,133776.0,15159.0,V1,L4,,
ses-4-scan-7,4,220,107039999584792832,307664.0,128912.0,14979.0,RL,L4,,
ses-4-scan-7,4,220,87337851465027456,163936.0,137328.0,20702.0,V1,L4,,
ses-4-scan-7,4,220,108517263048652720,318181.0,125385.0,21647.0,RL,L4,,
